CybORG v2.1, Scenario2, Commit Hash: 9421c8e985627810c5cac2abf0bcb62dfa6749fc
author: d, team: d, technique: d
wrappers: ChallengeWrapper(env=env, agent_name='Blue')
steps: 30, adversary: B_lineAgent, mean: -163.75699999999995, standard deviation 80.8954634767062
actions: [('Analyse Enterprise0', 'DiscoverRemoteSystems 10.0.158.176/28'), ('Analyse Op_Host2', 'DiscoverNetworkServices 10.0.158.182'), ('Remove Op_Host1', 'ExploitRemoteService 10.0.158.182'), ('DecoyApache Op_Host1', 'PrivilegeEscalate User1'), ('Analyse Defender', 'DiscoverNetworkServices 10.0.180.247'), ('Analyse User2', 'ExploitRemoteService 10.0.180.247'), ('DecoyApache User3', 'ExploitRemoteService 10.0.158.182'), ('DecoyFemitter User4', 'PrivilegeEscalate User1'), ('DecoyFemitter User1', 'DiscoverNetworkServices 10.0.180.247'), ('DecoyApache User2', 'ExploitRemoteService 10.0.180.247'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate Enterprise1'), ('DecoyFemitter Enterprise0', 'DiscoverRemoteSystems 10.0.180.240/28'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.180.245'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.180.245'), ('Remove Op_Host1', 'PrivilegeEscalate Enterprise2'), ('DecoyApache User4', 'DiscoverNetworkServices 10.0.225.69'), ('Remove Enterprise0', 'ExploitRemoteService 10.0.225.69'), ('Sleep', 'PrivilegeEscalate Op_Server0'), ('Monitor', 'Impact Op_Server0'), ('Remove User1', 'Impact Op_Server0'), ('DecoyFemitter User0', 'Impact Op_Server0'), ('Remove User1', 'Impact Op_Server0'), ('Remove Op_Host2', 'Impact Op_Server0'), ('Monitor', 'Impact Op_Server0'), ('DecoyApache User3', 'Impact Op_Server0'), ('Remove Op_Host0', 'Impact Op_Server0'), ('DecoyApache Op_Host2', 'Impact Op_Server0'), ('Remove User2', 'Impact Op_Server0'), ('DecoyApache Op_Host2', 'Impact Op_Server0'), ('DecoyFemitter User3', 'Impact Op_Server0')], total reward: -171.79999999999995
actions: [('Analyse User2', 'DiscoverRemoteSystems 10.0.225.176/28'), ('DecoyApache Op_Host0', 'DiscoverNetworkServices 10.0.225.180'), ('Remove User0', 'ExploitRemoteService 10.0.225.180'), ('DecoyFemitter User0', 'PrivilegeEscalate User2'), ('DecoyApache User4', 'DiscoverNetworkServices 10.0.40.221'), ('Remove Op_Host1', 'ExploitRemoteService 10.0.40.221'), ('DecoyApache User4', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host0', 'DiscoverRemoteSystems 10.0.40.208/28'), ('DecoyApache User1', 'DiscoverNetworkServices 10.0.40.214'), ('Analyse User1', 'ExploitRemoteService 10.0.40.214'), ('DecoyApache Op_Server0', 'PrivilegeEscalate Enterprise2'), ('Analyse User0', 'DiscoverNetworkServices 10.0.66.212'), ('DecoyFemitter Enterprise2', 'ExploitRemoteService 10.0.66.212'), ('Remove User1', 'ExploitRemoteService 10.0.40.214'), ('Analyse Op_Host0', 'PrivilegeEscalate Enterprise2'), ('DecoyApache User4', 'DiscoverNetworkServices 10.0.66.212'), ('Analyse Enterprise0', 'ExploitRemoteService 10.0.66.212'), ('Sleep', 'PrivilegeEscalate Op_Server0'), ('Analyse Enterprise2', 'Impact Op_Server0'), ('Analyse User2', 'Impact Op_Server0'), ('Analyse Defender', 'Impact Op_Server0'), ('Remove Op_Host1', 'Impact Op_Server0'), ('Remove User2', 'Impact Op_Server0'), ('DecoyApache Enterprise2', 'Impact Op_Server0'), ('Remove User2', 'Impact Op_Server0'), ('DecoyFemitter User3', 'Impact Op_Server0'), ('Remove Op_Host0', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse User1', 'Impact Op_Server0'), ('Remove User0', 'Impact Op_Server0')], total reward: -179.79999999999995
actions: [('DecoyApache User1', 'DiscoverRemoteSystems 10.0.168.32/28'), ('Remove Enterprise1', 'DiscoverNetworkServices 10.0.168.45'), ('DecoyFemitter Op_Host2', 'ExploitRemoteService 10.0.168.45'), ('DecoyFemitter User0', 'PrivilegeEscalate User3'), ('DecoyApache Op_Server0', 'DiscoverNetworkServices 10.0.22.164'), ('Monitor', 'ExploitRemoteService 10.0.22.164'), ('Remove Op_Server0', 'PrivilegeEscalate Enterprise0'), ('Remove Enterprise2', 'DiscoverRemoteSystems 10.0.22.160/28'), ('Remove Defender', 'DiscoverNetworkServices 10.0.22.173'), ('Analyse User0', 'ExploitRemoteService 10.0.22.173'), ('DecoyApache User1', 'ExploitRemoteService 10.0.22.164'), ('Remove User3', 'PrivilegeEscalate Enterprise0'), ('DecoyApache User3', 'DiscoverRemoteSystems 10.0.22.160/28'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.22.173'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.22.173'), ('Analyse User3', 'PrivilegeEscalate Enterprise2'), ('Remove Op_Host0', 'DiscoverNetworkServices 10.0.226.166'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.226.166'), ('Analyse User3', 'ExploitRemoteService 10.0.22.173'), ('DecoyApache Op_Host2', 'PrivilegeEscalate Enterprise2'), ('DecoyApache User4', 'DiscoverNetworkServices 10.0.226.166'), ('DecoyApache Enterprise1', 'ExploitRemoteService 10.0.226.166'), ('Analyse User3', 'PrivilegeEscalate Op_Server0'), ('Monitor', 'Impact Op_Server0'), ('DecoyFemitter Enterprise0', 'Impact Op_Server0'), ('DecoyApache User1', 'Impact Op_Server0'), ('DecoyFemitter User0', 'Impact Op_Server0'), ('DecoyFemitter Op_Host1', 'Impact Op_Server0'), ('DecoyApache Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0')], total reward: -119.79999999999998
actions: [('DecoyApache User4', 'DiscoverRemoteSystems 10.0.129.160/28'), ('DecoyFemitter User1', 'DiscoverNetworkServices 10.0.129.170'), ('DecoyFemitter Op_Host0', 'ExploitRemoteService 10.0.129.170'), ('DecoyApache Enterprise1', 'PrivilegeEscalate User3'), ('DecoyApache Op_Host0', 'DiscoverNetworkServices 10.0.201.57'), ('DecoyApache Op_Server0', 'ExploitRemoteService 10.0.201.57'), ('Sleep', 'PrivilegeEscalate Enterprise0'), ('Analyse Enterprise1', 'DiscoverRemoteSystems 10.0.201.48/28'), ('DecoyApache User0', 'DiscoverNetworkServices 10.0.201.55'), ('Analyse Op_Host2', 'ExploitRemoteService 10.0.201.55'), ('Remove User4', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter Op_Host0', 'DiscoverNetworkServices 10.0.250.122'), ('DecoyApache User4', 'ExploitRemoteService 10.0.250.122'), ('DecoyApache Op_Host0', 'PrivilegeEscalate Op_Server0'), ('DecoyFemitter Op_Host2', 'Impact Op_Server0'), ('Analyse Op_Server0', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('DecoyApache Enterprise2', 'Impact Op_Server0'), ('DecoyApache User4', 'Impact Op_Server0'), ('Remove Defender', 'Impact Op_Server0'), ('Remove User2', 'Impact Op_Server0'), ('Analyse User0', 'Impact Op_Server0'), ('DecoyFemitter User3', 'Impact Op_Server0'), ('Analyse User0', 'Impact Op_Server0'), ('DecoyApache Op_Host0', 'Impact Op_Server0'), ('DecoyFemitter Op_Host2', 'Impact Op_Server0'), ('DecoyApache Enterprise1', 'Impact Op_Server0'), ('DecoyFemitter User4', 'Impact Op_Server0'), ('Remove Defender', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('DecoyFemitter Enterprise1', 'DiscoverRemoteSystems 10.0.158.208/28'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.158.217'), ('DecoyApache Enterprise1', 'ExploitRemoteService 10.0.158.217'), ('DecoyApache User3', 'PrivilegeEscalate User4'), ('Analyse User0', 'DiscoverNetworkServices 10.0.66.56'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.66.56'), ('DecoyFemitter Enterprise2', 'PrivilegeEscalate Enterprise0'), ('Analyse Op_Host0', 'DiscoverRemoteSystems 10.0.66.48/28'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.66.61'), ('DecoyFemitter Enterprise0', 'ExploitRemoteService 10.0.66.61'), ('Remove Op_Server0', 'ExploitRemoteService 10.0.66.56'), ('DecoyFemitter User4', 'PrivilegeEscalate Enterprise0'), ('Remove Op_Host0', 'DiscoverRemoteSystems 10.0.66.48/28'), ('DecoyApache Op_Host2', 'DiscoverNetworkServices 10.0.66.61'), ('DecoyFemitter Op_Host0', 'ExploitRemoteService 10.0.66.61'), ('Sleep', 'PrivilegeEscalate Enterprise2'), ('Analyse Op_Host1', 'DiscoverNetworkServices 10.0.220.212'), ('Analyse Op_Host1', 'ExploitRemoteService 10.0.220.212'), ('DecoyFemitter Op_Host0', 'PrivilegeEscalate Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('DecoyApache User0', 'Impact Op_Server0'), ('DecoyApache Op_Host2', 'Impact Op_Server0'), ('DecoyApache Enterprise0', 'Impact Op_Server0'), ('Analyse Enterprise2', 'Impact Op_Server0'), ('DecoyApache Enterprise2', 'Impact Op_Server0'), ('DecoyFemitter Enterprise2', 'Impact Op_Server0'), ('Analyse User3', 'Impact Op_Server0'), ('Remove Enterprise1', 'Impact Op_Server0'), ('Monitor', 'Impact Op_Server0'), ('Analyse User2', 'Impact Op_Server0')], total reward: -163.79999999999995
actions: [('Analyse User2', 'DiscoverRemoteSystems 10.0.252.64/28'), ('DecoyApache Defender', 'DiscoverNetworkServices 10.0.252.74'), ('DecoyApache User4', 'ExploitRemoteService 10.0.252.74'), ('DecoyFemitter User0', 'PrivilegeEscalate User1'), ('Monitor', 'DiscoverNetworkServices 10.0.230.83'), ('DecoyFemitter User0', 'ExploitRemoteService 10.0.230.83'), ('DecoyApache Enterprise2', 'PrivilegeEscalate Enterprise1'), ('Sleep', 'DiscoverRemoteSystems 10.0.230.80/28'), ('Remove Op_Server0', 'DiscoverNetworkServices 10.0.230.93'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.230.93'), ('Remove User1', 'PrivilegeEscalate Enterprise2'), ('DecoyApache Op_Host0', 'DiscoverNetworkServices 10.0.188.234'), ('DecoyApache Enterprise2', 'ExploitRemoteService 10.0.188.234'), ('Analyse Enterprise0', 'PrivilegeEscalate Op_Server0'), ('DecoyFemitter User4', 'Impact Op_Server0'), ('Monitor', 'Impact Op_Server0'), ('Analyse Defender', 'Impact Op_Server0'), ('DecoyFemitter User0', 'Impact Op_Server0'), ('Monitor', 'Impact Op_Server0'), ('DecoyFemitter Enterprise2', 'Impact Op_Server0'), ('Analyse User2', 'Impact Op_Server0'), ('Monitor', 'Impact Op_Server0'), ('DecoyFemitter Op_Server0', 'Impact Op_Server0'), ('Remove Enterprise2', 'Impact Op_Server0'), ('Remove Enterprise0', 'Impact Op_Server0'), ('DecoyApache User2', 'Impact Op_Server0'), ('Analyse User0', 'Impact Op_Server0'), ('Remove Enterprise1', 'Impact Op_Server0'), ('Remove Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('DecoyApache Enterprise1', 'DiscoverRemoteSystems 10.0.222.80/28'), ('Sleep', 'DiscoverNetworkServices 10.0.222.90'), ('DecoyApache User0', 'ExploitRemoteService 10.0.222.90'), ('DecoyApache User3', 'PrivilegeEscalate User3'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.3.23'), ('Remove Enterprise2', 'ExploitRemoteService 10.0.3.23'), ('DecoyApache Op_Host0', 'PrivilegeEscalate Enterprise0'), ('DecoyFemitter Enterprise0', 'DiscoverRemoteSystems 10.0.3.16/28'), ('Sleep', 'DiscoverNetworkServices 10.0.3.27'), ('Analyse User3', 'ExploitRemoteService 10.0.3.27'), ('Remove User2', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.183.34'), ('Remove Op_Host2', 'ExploitRemoteService 10.0.183.34'), ('Analyse User3', 'PrivilegeEscalate Op_Server0'), ('Remove Enterprise0', 'Impact Op_Server0'), ('DecoyApache Defender', 'Impact Op_Server0'), ('Analyse User4', 'Impact Op_Server0'), ('Remove Defender', 'Impact Op_Server0'), ('DecoyApache Op_Server0', 'Impact Op_Server0'), ('Remove Enterprise0', 'Impact Op_Server0'), ('Remove User4', 'Impact Op_Server0'), ('DecoyFemitter User2', 'Impact Op_Server0'), ('DecoyFemitter User1', 'Impact Op_Server0'), ('DecoyFemitter Op_Host0', 'Impact Op_Server0'), ('DecoyApache Enterprise1', 'Impact Op_Server0'), ('Remove Enterprise1', 'Impact Op_Server0'), ('Remove Op_Host2', 'Impact Op_Server0'), ('Remove Enterprise1', 'Impact Op_Server0'), ('DecoyApache User2', 'Impact Op_Server0'), ('DecoyApache Enterprise1', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Remove User2', 'DiscoverRemoteSystems 10.0.237.32/28'), ('Analyse Enterprise0', 'DiscoverNetworkServices 10.0.237.40'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.237.40'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.175.125'), ('DecoyApache User1', 'ExploitRemoteService 10.0.175.125'), ('Analyse User0', 'PrivilegeEscalate Enterprise0'), ('Analyse User4', 'DiscoverRemoteSystems 10.0.175.112/28'), ('DecoyApache User1', 'DiscoverNetworkServices 10.0.175.126'), ('Remove Op_Host2', 'ExploitRemoteService 10.0.175.126'), ('DecoyApache User2', 'PrivilegeEscalate Enterprise2'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.78.167'), ('DecoyFemitter User1', 'ExploitRemoteService 10.0.78.167'), ('DecoyApache Op_Host0', 'ExploitRemoteService 10.0.175.126'), ('Remove Op_Host0', 'PrivilegeEscalate Enterprise2'), ('DecoyApache Enterprise1', 'DiscoverNetworkServices 10.0.78.167'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.78.167'), ('Analyse Op_Host2', 'ExploitRemoteService 10.0.175.126'), ('DecoyFemitter Op_Host0', 'ExploitRemoteService 10.0.175.125'), ('Analyse User1', 'PrivilegeEscalate Enterprise0'), ('DecoyApache Defender', 'DiscoverRemoteSystems 10.0.175.112/28'), ('Remove Op_Host0', 'DiscoverNetworkServices 10.0.175.126'), ('Remove Op_Host1', 'ExploitRemoteService 10.0.175.126'), ('DecoyFemitter Op_Server0', 'PrivilegeEscalate Enterprise2'), ('Remove Op_Host0', 'DiscoverNetworkServices 10.0.78.167'), ('DecoyApache Op_Host1', 'ExploitRemoteService 10.0.78.167'), ('DecoyFemitter Defender', 'ExploitRemoteService 10.0.175.126'), ('DecoyApache Enterprise0', 'PrivilegeEscalate Enterprise2'), ('Remove Op_Host0', 'DiscoverNetworkServices 10.0.78.167'), ('Remove Enterprise0', 'ExploitRemoteService 10.0.78.167')], total reward: -46.80000000000002
actions: [('Analyse Op_Host0', 'DiscoverRemoteSystems 10.0.62.224/28'), ('Remove Defender', 'DiscoverNetworkServices 10.0.62.233'), ('DecoyFemitter User3', 'ExploitRemoteService 10.0.62.233'), ('DecoyApache User1', 'PrivilegeEscalate User3'), ('Analyse Op_Host2', 'DiscoverNetworkServices 10.0.54.20'), ('DecoyApache Op_Host2', 'ExploitRemoteService 10.0.54.20'), ('Remove User4', 'PrivilegeEscalate Enterprise0'), ('Remove Enterprise1', 'DiscoverRemoteSystems 10.0.54.16/28'), ('DecoyApache User3', 'DiscoverNetworkServices 10.0.54.23'), ('DecoyFemitter Op_Host0', 'ExploitRemoteService 10.0.54.23'), ('Remove User2', 'PrivilegeEscalate Enterprise2'), ('Remove User2', 'DiscoverNetworkServices 10.0.50.66'), ('Analyse User1', 'ExploitRemoteService 10.0.50.66'), ('DecoyApache User1', 'PrivilegeEscalate Op_Server0'), ('DecoyApache Op_Host1', 'Impact Op_Server0'), ('DecoyFemitter Op_Host2', 'Impact Op_Server0'), ('DecoyFemitter User2', 'Impact Op_Server0'), ('Remove Defender', 'Impact Op_Server0'), ('DecoyFemitter Enterprise1', 'Impact Op_Server0'), ('DecoyApache User2', 'Impact Op_Server0'), ('DecoyFemitter Op_Server0', 'Impact Op_Server0'), ('DecoyFemitter Op_Host0', 'Impact Op_Server0'), ('DecoyFemitter User1', 'Impact Op_Server0'), ('DecoyFemitter Enterprise0', 'Impact Op_Server0'), ('Remove User1', 'Impact Op_Server0'), ('DecoyApache Enterprise0', 'Impact Op_Server0'), ('Remove Op_Host0', 'Impact Op_Server0'), ('Remove Enterprise1', 'Impact Op_Server0'), ('DecoyFemitter User4', 'Impact Op_Server0'), ('Analyse User3', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Analyse Defender', 'DiscoverRemoteSystems 10.0.170.96/28'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.170.100'), ('DecoyFemitter User2', 'ExploitRemoteService 10.0.170.100'), ('DecoyFemitter Op_Host1', 'PrivilegeEscalate User3'), ('Remove User2', 'DiscoverNetworkServices 10.0.197.91'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.197.91'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise0'), ('Remove Op_Host2', 'DiscoverRemoteSystems 10.0.197.80/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.197.89'), ('Analyse Op_Host1', 'ExploitRemoteService 10.0.197.89'), ('DecoyApache Enterprise0', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter User1', 'DiscoverNetworkServices 10.0.212.142'), ('DecoyApache User4', 'ExploitRemoteService 10.0.212.142'), ('Remove User2', 'PrivilegeEscalate Op_Server0'), ('Analyse User1', 'Impact Op_Server0'), ('DecoyFemitter Enterprise2', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('DecoyApache Enterprise1', 'Impact Op_Server0'), ('Remove Enterprise1', 'Impact Op_Server0'), ('DecoyApache User2', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Analyse User2', 'Impact Op_Server0'), ('DecoyApache Op_Host2', 'Impact Op_Server0'), ('DecoyApache Op_Server0', 'Impact Op_Server0'), ('DecoyFemitter Enterprise2', 'Impact Op_Server0'), ('DecoyApache User4', 'Impact Op_Server0'), ('DecoyApache Op_Host0', 'Impact Op_Server0'), ('DecoyFemitter User1', 'Impact Op_Server0'), ('Remove User1', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Remove User1', 'DiscoverRemoteSystems 10.0.255.144/28'), ('Monitor', 'DiscoverNetworkServices 10.0.255.156'), ('DecoyFemitter Enterprise2', 'ExploitRemoteService 10.0.255.156'), ('Remove User3', 'PrivilegeEscalate User3'), ('DecoyFemitter User4', 'DiscoverNetworkServices 10.0.222.204'), ('Remove Defender', 'ExploitRemoteService 10.0.222.204'), ('DecoyApache User3', 'PrivilegeEscalate Enterprise0'), ('Analyse Enterprise0', 'DiscoverRemoteSystems 10.0.222.192/28'), ('DecoyApache User4', 'DiscoverNetworkServices 10.0.222.203'), ('Analyse User0', 'ExploitRemoteService 10.0.222.203'), ('DecoyFemitter User0', 'ExploitRemoteService 10.0.222.204'), ('Analyse User4', 'PrivilegeEscalate Enterprise0'), ('Analyse User1', 'DiscoverRemoteSystems 10.0.222.192/28'), ('DecoyApache Enterprise0', 'DiscoverNetworkServices 10.0.222.203'), ('Analyse Op_Host2', 'ExploitRemoteService 10.0.222.203'), ('Remove Op_Host1', 'ExploitRemoteService 10.0.222.204'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise0'), ('DecoyFemitter Op_Host2', 'DiscoverRemoteSystems 10.0.222.192/28'), ('Remove Op_Host0', 'DiscoverNetworkServices 10.0.222.203'), ('Analyse Op_Host2', 'ExploitRemoteService 10.0.222.203'), ('Remove Defender', 'ExploitRemoteService 10.0.222.204'), ('DecoyApache User4', 'PrivilegeEscalate Enterprise0'), ('Analyse Op_Host2', 'DiscoverRemoteSystems 10.0.222.192/28'), ('Remove Enterprise1', 'DiscoverNetworkServices 10.0.222.203'), ('DecoyFemitter Enterprise0', 'ExploitRemoteService 10.0.222.203'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.222.204'), ('Remove Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Remove Enterprise0', 'DiscoverRemoteSystems 10.0.222.192/28'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.222.203'), ('Remove User4', 'ExploitRemoteService 10.0.222.203')], total reward: -26.80000000000001
