CybORG v2.1, Scenario2, Commit Hash: 9421c8e985627810c5cac2abf0bcb62dfa6749fc
author: d, team: d, technique: d
wrappers: ChallengeWrapper(env=env, agent_name='Blue')
steps: 30, adversary: B_lineAgent, mean: -166.24299999999994, standard deviation 83.79986892181351
actions: [('Analyse User3', 'DiscoverRemoteSystems 10.0.172.112/28'), ('Remove Enterprise2', 'DiscoverNetworkServices 10.0.172.120'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.172.120'), ('Remove User2', 'PrivilegeEscalate User4'), ('Analyse Op_Host1', 'DiscoverNetworkServices 10.0.29.65'), ('DecoyFemitter Op_Host2', 'ExploitRemoteService 10.0.29.65'), ('Analyse User1', 'PrivilegeEscalate Enterprise0'), ('Analyse Op_Host2', 'DiscoverRemoteSystems 10.0.29.64/28'), ('DecoyFemitter Enterprise0', 'DiscoverNetworkServices 10.0.29.75'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.29.75'), ('DecoyFemitter User3', 'PrivilegeEscalate Enterprise2'), ('Remove Defender', 'DiscoverNetworkServices 10.0.56.133'), ('DecoyApache Enterprise2', 'ExploitRemoteService 10.0.56.133'), ('Remove Op_Server0', 'PrivilegeEscalate Op_Server0'), ('DecoyApache Enterprise2', 'Impact Op_Server0'), ('DecoyApache Enterprise0', 'Impact Op_Server0'), ('DecoyApache Op_Host1', 'Impact Op_Server0'), ('Remove User0', 'Impact Op_Server0'), ('Remove User0', 'Impact Op_Server0'), ('DecoyFemitter Enterprise1', 'Impact Op_Server0'), ('DecoyApache Op_Host2', 'Impact Op_Server0'), ('DecoyFemitter Enterprise1', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('DecoyApache Op_Host1', 'Impact Op_Server0'), ('DecoyFemitter Defender', 'Impact Op_Server0'), ('DecoyApache Op_Host1', 'Impact Op_Server0'), ('DecoyFemitter Enterprise2', 'Impact Op_Server0'), ('DecoyFemitter Enterprise2', 'Impact Op_Server0'), ('Remove Op_Host1', 'Impact Op_Server0'), ('DecoyApache User4', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('DecoyApache Op_Host2', 'DiscoverRemoteSystems 10.0.216.160/28'), ('DecoyApache Op_Host1', 'DiscoverNetworkServices 10.0.216.174'), ('Remove User3', 'ExploitRemoteService 10.0.216.174'), ('Remove Enterprise1', 'PrivilegeEscalate User3'), ('DecoyFemitter Op_Server0', 'DiscoverNetworkServices 10.0.103.230'), ('DecoyApache Op_Host2', 'ExploitRemoteService 10.0.103.230'), ('DecoyFemitter User4', 'PrivilegeEscalate Enterprise0'), ('DecoyFemitter Enterprise1', 'DiscoverRemoteSystems 10.0.103.224/28'), ('Remove Enterprise2', 'DiscoverNetworkServices 10.0.103.225'), ('DecoyFemitter Op_Server0', 'ExploitRemoteService 10.0.103.225'), ('DecoyFemitter User0', 'PrivilegeEscalate Enterprise2'), ('Remove Defender', 'DiscoverNetworkServices 10.0.208.180'), ('DecoyFemitter User4', 'ExploitRemoteService 10.0.208.180'), ('Analyse User0', 'PrivilegeEscalate Op_Server0'), ('DecoyFemitter Defender', 'Impact Op_Server0'), ('DecoyFemitter Enterprise2', 'Impact Op_Server0'), ('Analyse User2', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0'), ('DecoyApache Op_Host2', 'Impact Op_Server0'), ('DecoyApache User2', 'Impact Op_Server0'), ('Analyse User2', 'Impact Op_Server0'), ('Analyse User4', 'Impact Op_Server0'), ('DecoyFemitter Enterprise1', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse Enterprise2', 'Impact Op_Server0'), ('Remove User4', 'Impact Op_Server0'), ('Remove Enterprise2', 'Impact Op_Server0'), ('DecoyApache User2', 'Impact Op_Server0'), ('DecoyApache Op_Host2', 'Impact Op_Server0'), ('Remove Enterprise2', 'Impact Op_Server0')], total reward: -224.79999999999993
actions: [('Analyse User0', 'DiscoverRemoteSystems 10.0.111.128/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.111.133'), ('Remove User1', 'ExploitRemoteService 10.0.111.133'), ('DecoyApache Enterprise2', 'PrivilegeEscalate User2'), ('DecoyFemitter User2', 'DiscoverNetworkServices 10.0.5.238'), ('DecoyFemitter User0', 'ExploitRemoteService 10.0.5.238'), ('Remove Defender', 'PrivilegeEscalate Enterprise1'), ('Remove Op_Server0', 'DiscoverRemoteSystems 10.0.5.224/28'), ('Remove User0', 'DiscoverNetworkServices 10.0.5.237'), ('Remove Op_Host0', 'ExploitRemoteService 10.0.5.237'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter Defender', 'ExploitRemoteService 10.0.5.237'), ('Analyse Op_Server0', 'PrivilegeEscalate Enterprise2'), ('DecoyApache Enterprise0', 'DiscoverNetworkServices 10.0.96.172'), ('DecoyApache User1', 'ExploitRemoteService 10.0.96.172'), ('DecoyApache User0', 'PrivilegeEscalate Op_Server0'), ('DecoyApache Enterprise2', 'Impact Op_Server0'), ('DecoyApache User1', 'Impact Op_Server0'), ('DecoyApache Op_Server0', 'Impact Op_Server0'), ('DecoyFemitter User1', 'Impact Op_Server0'), ('Analyse User0', 'Impact Op_Server0'), ('Remove Defender', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('DecoyApache Op_Host1', 'Impact Op_Server0'), ('DecoyFemitter User2', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('DecoyApache Enterprise0', 'Impact Op_Server0'), ('Remove Enterprise0', 'Impact Op_Server0'), ('DecoyFemitter Enterprise0', 'Impact Op_Server0'), ('DecoyFemitter Enterprise1', 'Impact Op_Server0')], total reward: -199.79999999999995
actions: [('Remove Op_Server0', 'DiscoverRemoteSystems 10.0.70.176/28'), ('DecoyFemitter Op_Host1', 'DiscoverNetworkServices 10.0.70.180'), ('DecoyFemitter Op_Host1', 'ExploitRemoteService 10.0.70.180'), ('DecoyFemitter Op_Server0', 'PrivilegeEscalate User3'), ('Monitor', 'DiscoverNetworkServices 10.0.94.227'), ('Analyse User3', 'ExploitRemoteService 10.0.94.227'), ('Analyse Enterprise1', 'PrivilegeEscalate Enterprise0'), ('DecoyApache User2', 'DiscoverRemoteSystems 10.0.94.224/28'), ('Remove User0', 'DiscoverNetworkServices 10.0.94.229'), ('Remove User4', 'ExploitRemoteService 10.0.94.229'), ('Remove User0', 'PrivilegeEscalate Enterprise2'), ('Remove Op_Host0', 'DiscoverNetworkServices 10.0.104.106'), ('Remove Op_Host0', 'ExploitRemoteService 10.0.104.106'), ('DecoyFemitter User2', 'PrivilegeEscalate Op_Server0'), ('DecoyFemitter User2', 'Impact Op_Server0'), ('Remove User3', 'Impact Op_Server0'), ('DecoyApache User2', 'Impact Op_Server0'), ('DecoyApache Enterprise0', 'Impact Op_Server0'), ('DecoyApache Enterprise0', 'Impact Op_Server0'), ('DecoyApache Enterprise1', 'Impact Op_Server0'), ('Analyse Op_Server0', 'Impact Op_Server0'), ('Remove User1', 'Impact Op_Server0'), ('Analyse User3', 'Impact Op_Server0'), ('DecoyApache Enterprise1', 'Impact Op_Server0'), ('Remove User0', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('DecoyApache Op_Host0', 'Impact Op_Server0'), ('Remove Op_Server0', 'Impact Op_Server0'), ('Remove Op_Host2', 'Impact Op_Server0'), ('DecoyApache Defender', 'Impact Op_Server0')], total reward: -223.69999999999993
actions: [('DecoyFemitter User0', 'DiscoverRemoteSystems 10.0.198.48/28'), ('Remove Enterprise2', 'DiscoverNetworkServices 10.0.198.62'), ('DecoyFemitter Defender', 'ExploitRemoteService 10.0.198.62'), ('Remove Op_Server0', 'PrivilegeEscalate User2'), ('Analyse User1', 'DiscoverNetworkServices 10.0.220.126'), ('Analyse Op_Server0', 'ExploitRemoteService 10.0.220.126'), ('Analyse Op_Host0', 'PrivilegeEscalate Enterprise1'), ('DecoyApache Op_Host2', 'DiscoverRemoteSystems 10.0.220.112/28'), ('Remove User2', 'DiscoverNetworkServices 10.0.220.119'), ('DecoyFemitter Op_Host2', 'ExploitRemoteService 10.0.220.119'), ('DecoyApache Op_Host1', 'PrivilegeEscalate Enterprise2'), ('Monitor', 'DiscoverNetworkServices 10.0.114.251'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.114.251'), ('DecoyApache Enterprise1', 'PrivilegeEscalate Op_Server0'), ('Remove User0', 'Impact Op_Server0'), ('DecoyFemitter Op_Host0', 'Impact Op_Server0'), ('DecoyFemitter User3', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('DecoyFemitter User3', 'Impact Op_Server0'), ('DecoyFemitter User1', 'Impact Op_Server0'), ('DecoyFemitter Op_Host0', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0'), ('Analyse Enterprise2', 'Impact Op_Server0'), ('DecoyApache Op_Host2', 'Impact Op_Server0'), ('DecoyApache User3', 'Impact Op_Server0'), ('Remove User3', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Sleep', 'Impact Op_Server0'), ('Analyse User1', 'Impact Op_Server0'), ('Analyse Defender', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Analyse User4', 'DiscoverRemoteSystems 10.0.121.96/28'), ('DecoyApache User4', 'DiscoverNetworkServices 10.0.121.109'), ('Analyse User2', 'ExploitRemoteService 10.0.121.109'), ('DecoyApache User1', 'PrivilegeEscalate User3'), ('DecoyFemitter Op_Host0', 'DiscoverNetworkServices 10.0.242.234'), ('DecoyFemitter Op_Host0', 'ExploitRemoteService 10.0.242.234'), ('DecoyFemitter Defender', 'PrivilegeEscalate Enterprise0'), ('DecoyApache Enterprise1', 'DiscoverRemoteSystems 10.0.242.224/28'), ('DecoyApache User2', 'DiscoverNetworkServices 10.0.242.227'), ('Remove Defender', 'ExploitRemoteService 10.0.242.227'), ('Analyse Enterprise0', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter Defender', 'DiscoverNetworkServices 10.0.96.59'), ('DecoyApache Enterprise1', 'ExploitRemoteService 10.0.96.59'), ('DecoyApache Enterprise0', 'PrivilegeEscalate Op_Server0'), ('Remove Op_Host0', 'Impact Op_Server0'), ('DecoyFemitter User3', 'Impact Op_Server0'), ('Analyse User2', 'Impact Op_Server0'), ('DecoyApache Enterprise1', 'Impact Op_Server0'), ('Analyse Op_Server0', 'Impact Op_Server0'), ('DecoyApache Op_Host0', 'Impact Op_Server0'), ('DecoyApache Op_Host2', 'Impact Op_Server0'), ('DecoyFemitter User4', 'Impact Op_Server0'), ('Analyse User4', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('DecoyFemitter User3', 'Impact Op_Server0'), ('Remove User1', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0'), ('DecoyFemitter User0', 'Impact Op_Server0'), ('Remove User2', 'Impact Op_Server0'), ('DecoyApache Op_Host1', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Remove Op_Host0', 'DiscoverRemoteSystems 10.0.16.80/28'), ('DecoyApache User2', 'DiscoverNetworkServices 10.0.16.90'), ('DecoyApache Op_Host1', 'ExploitRemoteService 10.0.16.90'), ('Analyse User3', 'PrivilegeEscalate User1'), ('Analyse Op_Host2', 'DiscoverNetworkServices 10.0.46.247'), ('Analyse User3', 'ExploitRemoteService 10.0.46.247'), ('Analyse Op_Host0', 'PrivilegeEscalate Enterprise1'), ('DecoyFemitter Op_Server0', 'DiscoverRemoteSystems 10.0.46.240/28'), ('DecoyApache Enterprise1', 'DiscoverNetworkServices 10.0.46.254'), ('DecoyApache Enterprise2', 'ExploitRemoteService 10.0.46.254'), ('DecoyApache Enterprise0', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter Op_Host1', 'DiscoverNetworkServices 10.0.207.68'), ('Analyse Op_Host2', 'ExploitRemoteService 10.0.207.68'), ('DecoyApache Op_Host1', 'PrivilegeEscalate Op_Server0'), ('Analyse Defender', 'Impact Op_Server0'), ('Analyse User4', 'Impact Op_Server0'), ('DecoyFemitter Defender', 'Impact Op_Server0'), ('Analyse User3', 'Impact Op_Server0'), ('DecoyApache User4', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('DecoyFemitter Enterprise2', 'Impact Op_Server0'), ('Analyse Enterprise1', 'Impact Op_Server0'), ('DecoyFemitter User3', 'Impact Op_Server0'), ('DecoyApache Defender', 'Impact Op_Server0'), ('DecoyFemitter User2', 'Impact Op_Server0'), ('Remove User3', 'Impact Op_Server0'), ('DecoyFemitter User4', 'Impact Op_Server0'), ('Remove User0', 'Impact Op_Server0'), ('Analyse User2', 'Impact Op_Server0'), ('Analyse User0', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Analyse User3', 'DiscoverRemoteSystems 10.0.206.144/28'), ('DecoyFemitter User0', 'DiscoverNetworkServices 10.0.206.154'), ('Analyse User3', 'ExploitRemoteService 10.0.206.154'), ('DecoyApache Op_Host1', 'PrivilegeEscalate User3'), ('DecoyFemitter Enterprise2', 'DiscoverNetworkServices 10.0.145.88'), ('DecoyApache User4', 'ExploitRemoteService 10.0.145.88'), ('Analyse User4', 'PrivilegeEscalate Enterprise0'), ('DecoyFemitter Defender', 'DiscoverRemoteSystems 10.0.145.80/28'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.145.87'), ('Analyse Enterprise0', 'ExploitRemoteService 10.0.145.87'), ('DecoyApache User1', 'ExploitRemoteService 10.0.145.88'), ('Sleep', 'PrivilegeEscalate Enterprise0'), ('Analyse User3', 'DiscoverRemoteSystems 10.0.145.80/28'), ('DecoyApache User0', 'DiscoverNetworkServices 10.0.145.87'), ('DecoyFemitter Enterprise0', 'ExploitRemoteService 10.0.145.87'), ('DecoyFemitter User3', 'ExploitRemoteService 10.0.145.88'), ('DecoyApache Defender', 'PrivilegeEscalate Enterprise0'), ('DecoyFemitter Op_Server0', 'DiscoverRemoteSystems 10.0.145.80/28'), ('DecoyApache Op_Host1', 'DiscoverNetworkServices 10.0.145.87'), ('DecoyApache User1', 'ExploitRemoteService 10.0.145.87'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate Enterprise2'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.149.34'), ('Analyse Enterprise0', 'ExploitRemoteService 10.0.149.34'), ('Analyse User0', 'PrivilegeEscalate Op_Server0'), ('DecoyApache Op_Host0', 'Impact Op_Server0'), ('Analyse Op_Server0', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Remove Op_Server0', 'Impact Op_Server0'), ('Analyse User0', 'Impact Op_Server0'), ('Analyse Enterprise2', 'Impact Op_Server0')], total reward: -103.79999999999998
actions: [('DecoyFemitter Op_Server0', 'DiscoverRemoteSystems 10.0.233.112/28'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.233.118'), ('Remove User4', 'ExploitRemoteService 10.0.233.118'), ('Analyse User1', 'PrivilegeEscalate User3'), ('DecoyApache User3', 'DiscoverNetworkServices 10.0.20.107'), ('Analyse Op_Host2', 'ExploitRemoteService 10.0.20.107'), ('DecoyApache Op_Host2', 'PrivilegeEscalate Enterprise0'), ('DecoyApache Enterprise0', 'DiscoverRemoteSystems 10.0.20.96/28'), ('DecoyApache Op_Host2', 'DiscoverNetworkServices 10.0.20.104'), ('Remove User4', 'ExploitRemoteService 10.0.20.104'), ('Analyse Enterprise1', 'PrivilegeEscalate Enterprise2'), ('Analyse User3', 'DiscoverNetworkServices 10.0.140.182'), ('DecoyApache Op_Host2', 'ExploitRemoteService 10.0.140.182'), ('Remove Enterprise0', 'PrivilegeEscalate Op_Server0'), ('DecoyApache User2', 'Impact Op_Server0'), ('DecoyApache Op_Host2', 'Impact Op_Server0'), ('DecoyApache User2', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0'), ('DecoyApache Enterprise1', 'Impact Op_Server0'), ('Remove Op_Host0', 'Impact Op_Server0'), ('Remove Op_Host2', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('Monitor', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('DecoyFemitter Enterprise0', 'Impact Op_Server0'), ('Remove User2', 'Impact Op_Server0'), ('DecoyApache User0', 'Impact Op_Server0'), ('Remove Enterprise2', 'Impact Op_Server0'), ('Remove User4', 'Impact Op_Server0'), ('Remove Op_Server0', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('Monitor', 'DiscoverRemoteSystems 10.0.97.208/28'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.97.213'), ('DecoyApache User0', 'ExploitRemoteService 10.0.97.213'), ('DecoyApache User3', 'PrivilegeEscalate User2'), ('DecoyApache Enterprise0', 'DiscoverNetworkServices 10.0.207.253'), ('DecoyFemitter Op_Host1', 'ExploitRemoteService 10.0.207.253'), ('DecoyApache Op_Server0', 'PrivilegeEscalate Enterprise1'), ('DecoyApache Enterprise1', 'DiscoverRemoteSystems 10.0.207.240/28'), ('DecoyApache User3', 'DiscoverNetworkServices 10.0.207.244'), ('DecoyApache Op_Host1', 'ExploitRemoteService 10.0.207.244'), ('DecoyApache Enterprise0', 'PrivilegeEscalate Enterprise2'), ('DecoyApache Defender', 'DiscoverNetworkServices 10.0.15.46'), ('Remove Op_Host1', 'ExploitRemoteService 10.0.15.46'), ('Analyse User3', 'PrivilegeEscalate Op_Server0'), ('DecoyApache Op_Host0', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('DecoyFemitter Op_Server0', 'Impact Op_Server0'), ('Analyse User2', 'Impact Op_Server0'), ('DecoyApache User4', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Analyse User2', 'Impact Op_Server0'), ('DecoyFemitter User2', 'Impact Op_Server0'), ('Remove Enterprise2', 'Impact Op_Server0'), ('Remove Op_Server0', 'Impact Op_Server0'), ('DecoyFemitter User4', 'Impact Op_Server0'), ('Analyse Defender', 'Impact Op_Server0'), ('Remove Enterprise2', 'Impact Op_Server0'), ('Remove Op_Host0', 'Impact Op_Server0'), ('Remove Op_Host2', 'Impact Op_Server0'), ('DecoyApache Enterprise0', 'Impact Op_Server0')], total reward: -223.79999999999993
actions: [('DecoyApache User0', 'DiscoverRemoteSystems 10.0.51.80/28'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.51.94'), ('DecoyApache Enterprise0', 'ExploitRemoteService 10.0.51.94'), ('Analyse Defender', 'PrivilegeEscalate User4'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.47.93'), ('DecoyApache Op_Host2', 'ExploitRemoteService 10.0.47.93'), ('DecoyApache User4', 'ExploitRemoteService 10.0.51.94'), ('Remove User0', 'PrivilegeEscalate User4'), ('DecoyApache User4', 'DiscoverNetworkServices 10.0.47.93'), ('Analyse User3', 'ExploitRemoteService 10.0.47.93'), ('DecoyFemitter Defender', 'ExploitRemoteService 10.0.51.94'), ('Remove User2', 'PrivilegeEscalate User4'), ('Analyse User1', 'DiscoverNetworkServices 10.0.47.93'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.47.93'), ('Analyse Enterprise0', 'ExploitRemoteService 10.0.51.94'), ('Remove User0', 'PrivilegeEscalate User4'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.47.93'), ('Remove User0', 'ExploitRemoteService 10.0.47.93'), ('Analyse Enterprise2', 'ExploitRemoteService 10.0.51.94'), ('DecoyApache Op_Server0', 'PrivilegeEscalate User4'), ('Remove User3', 'DiscoverNetworkServices 10.0.47.93'), ('DecoyApache Enterprise1', 'ExploitRemoteService 10.0.47.93'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.51.94'), ('DecoyFemitter Op_Host2', 'PrivilegeEscalate User4'), ('Analyse Defender', 'DiscoverNetworkServices 10.0.47.93'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.47.93'), ('Remove Defender', 'ExploitRemoteService 10.0.51.94'), ('Remove User3', 'PrivilegeEscalate User4'), ('Analyse Op_Server0', 'DiscoverNetworkServices 10.0.47.93'), ('Remove Defender', 'ExploitRemoteService 10.0.47.93')], total reward: -2.800000000000001
